Sr No,CollegeName,Location,Phones,Fax,Websites,AffiliatedTo
28,Shrama Sadhana Bombay Trusts's College of Engineering and Technology,Jalgaon ," +91-257-2258293, 2258170", +91-257-2258132, http://www.sscoetjalgaon.ac.in,AllIndiaCouncilforTechnicalEducation
29,J.T. Mahajan College of Engineering,Jalgaon ," +91-257-248256, 248179", +91-257-248181, http://www.jtmcoef.ac.in,AllIndiaCouncilforTechnicalEducation
30,Shri Sant Gadge Baba College of Engineering & Technology,Jalgaon ," +91-257-224364, 221719, 2217", +91-257-222889, http://www.ssgbcoet.com,NorthMaharashtraUniversity
31,Shri Sureshdada Jain College of Engineering,Jalgaon ," +91-257-2261136, 2263036, 22", +91-257-2261136, http://www.ssjcoejalgaon.net,NorthMaharashtraUniversity
32,DYPCET Kolhapur,Kasaba, +91-231-2601431, +91-231-2601432, http://www.dypkopeng.ac.in,ShivajiUniversity
33,Kolhapur Institute of Technology's College of Engineering,Kolhapur , +91-231-2638141/ +91-0231-26, +91-231-2638881, http://www.kitcoek.org,ShivajiUniversity
34,Dr JJ Magdum College of Engineering,Kolhapur ," +91-231-221825, 221827", +91-231-221831, http://www.jjmcoe.org,ShivajiUniversity
35,Tatyasaheb Kore Institute of Engineering & Technology,Kolhapur , +91-231-224012 / 224013 / 22, +91-231-223507, http://www.tkietwarana.org,ShivajiUniversity
36,D.K.T.E. Society's Textile and Engineering Institute,Kolhapur ," +91-231-2421300, 2432340, 24", +91-231-2432329, http://www.dktes.com,ShivajiUniversity
37,Dattajirao Kadam Techology Education Society's Textile & Engineering Insti,Kolhapur ," +91-231-2421300, 2432340, 24", +91-231-2432329, http://www.dktes.com,ShivajiUniversity
38,College of Agriculture Latur,Latur ," +91--242088,", +91--240398, http://mkv2.mah.nic.in/agl/aglindex.html,MarathwadaAgriculturalUniversity
39,Maharashtra College of Engineering,Latur ," +91-2474-221846, 221255", +91-2474-221455, http://www.mce-nilanga.com,SwamRamanandTeerthMarathwadaUniversity
40,M.S. Bidve Engineering College,Latur ,,, http://www.msbecl.ac.in,SwamiRamanandTeerthMarathwadaUniversity
41,IIT Bombay,Mumbai , +91-22-2572-2545, +91-22-2572-3480, http://www.iitb.ac.in,IITBombay
42,MGM College of Engineering & Technology,Mumbai , +91--55908119, +91--27423403, http://www.mgmmumbai.ac.in,MumbaiUniversity
43,KJ Somaiya College of Engineering,Mumbai , +91--22-66449191, +91--21025272, http://www.somaiya.edu,MumbaiUniversity
44,KJ Somaiya Institute of Engineering & Information Technology,Mumbai ," +91--22-24080331, 2454094", +91--22-24028804, http://www.somaiya.edu,MumbaiUniversity
45,MH Saboo Siddik College of Engineering,Mumbai , +91--23012922 / 23051356, +91--23082640, http://www.mhss.edu,MumbaiUniversity
46,DJ Sanghvi College of Engineering,Mumbai , +91--2610 7010 / 2610 746, +91--2619 4988, http://www.djscoe.org,MumbaiUniversity
47,Datta Meghe College of Engineering,Mumbai ," +91--27692854, 27691662,", +91--27691665, http://www.dmce.edu,MumbaiUniversity
48,Fr Conceicao Rodrigues College of Engineering,Mumbai , +91-22-26423841 / 842 / 004, +91-22-6516831, http://www.frcrce.ac.in,MumbaiUniversity
49,Bharati Vidyapeeth College of Engineering,Mumbai ," +91--27571074, 27572140", +91--27573196, http://www.bvcoenm.org.in,MumbaiUniversity
50,Veermata Jijabai Technological Institute,Mumbai , +91-22-414 69 72-76, +91-22-415 28 74, http://www.vjti.ac.in,MumbaiUniversity
51,Mukesh Patel School of Technology Management & Engineering,Mumbai ," +91-22-26717970/71, 2620179", +91-22-26717779, http://www.mpstme-nmims.org,NarseeMonjeeInstituteofManagementandHigherStudies
52,Pillais Institute of Information Technology,Mumbai , +91-22-27456100/1700, +91-22-2748 3208, http://www.piit.ac.in,MumbaiUniversity
53,Shree L R Tiwari College of Engineering,Mumbai ," +91-22-65142376 (O), 652957", +91-22-28172573, http://www.slrtce.in,MumbaiUniversity
54,Bharatiya Vidya Bhavan's Sardar Patel College of Engineering,Mumbai ," +91-22-26289777, 26232192", +91-22-26237819, http://www.spce.ac.in,MumbaiUniversity
55,Shah and Anchor Kutchhi Engineering College,Mumbai , +91-22-25568100, +91-22-26043840, http://www.shahandanchor.com,MumbaiUniversity
56,Rajiv Gandhi Institute of Technology,Mumbai , +91-22-26707025/26/27/28, +91-22-2339486, http://www.mctrgit.ac.in,MumbaiUniversity
57,Rizvi College of Engineering,Mumbai , +91-22-26052070/72,, http://eng.rizvi.edu.in/,MumbaiUniversity
58,Vivekanand Education Societys Institute of Technology,Mumbai , +91-22-25227638 / 2554 3352,, http://www.vesit.edu,MumbaiUniversity
59,St Francis Institute of Technology,Mumbai ," +91-22-238234, 2350989",, http://www.sfitengg.org,MumbaiUniversity
60,Vidyavardhinis College of Engineering and Technology,Mumbai ,,, http://www.vcet.edu.in,MumbaiUniversity
61,Kavikulguru Institute of Technology & Science,Nagpur , +91--7114-255309, +91--7114-255236, http://www.kits.edu,NagpurUniversity
62,VNIT Nagpur,Nagpur ," +91--2222828, 2224123, 22"," +91--2223969, 2223230", http://www.vnit.ac.in,VNITNagpur
63,Ankush College of Engineering,Nagpur , +91--236383, +91--712-2711505, http://www.jlcce.org,NagpurUniversity
64,JL Chaturvedi College of Engineering,Nagpur , +91--712-2712490 / 271150, +91--232560, http://www.ghrce.raisoni.net,NagpurUniversity
65,Laxminarayan Institute of Technology,Nagpur , +91--2561107," +91-712-2712538, 2711870", http://www.kdkce.edu.in,NagpurUniversity
66,GH Raisoni College of Engineering,Nagpur ," +91--236383, 235669", +91-7104-236458, http://www.piet.ltjss.net,NagpurUniversity
67,KDK College of Engineering,Nagpur ," +91-712-2711400, 2710030, 27", +91-712-2583237, http://www.rknec.edu,NagpurUniversity
68,Priyadarshini College of Engineering,Nagpur ," +91-712-236381, 237307, 2361", +91-712-232376, http://www.ucoe.org.in,AllIndiaCouncilforTechnicalEducation
69,Priyadarshini Institute of Engineering and Technology,Nagpur ," +91-7104-236463,236455,236470",, http://www.ycce.edu,NagpurUniversity
70,Shri Ramdeobaba Kamla Nehru Engineering College,Nagpur , +91-712-2583236 / 8 / 9,,,NagpurUniversity
71,Umrer College of Engineering,Nagpur , +91-712-247823,,,NagpurUniversity
72,Yashwantrao Chavan College of Engineering,Nagpur ," +91-712-237919, 329249, 3292",,,NagpurUniversity
73,MGM College of Engineering,Nanded ," +91-2462-222999, 224087", +91-2462-224087, http://www.mgmcen.org,SwamiRamanandTeerthMarathwadaUniversity
74,Shri Guru Gobind Singhji Institute of Engineering and Technology,Nanded ," +91-2462-229307, 306", +91-2462-229236, http://www.sggs.ac.in,SwamiRamanandTeerthMarathwadaUniversity
75,K K Wagh Institute of Engineering Education & Research,Nashik ," +91-253-2512876, 2516671", +91-253-2511962, http://www.kkwagh.org,PuneUniversity
76,MET Institute of Engineering,Nashik , +91-253-2303515, +91-253-2303203, http://www.met.edu,PuneUniversity
77,NDMVP Samaj's College of Engineering,Nashik , +91-253-2574511/2573422, +91-253-2571439, http://www.ndmvpcoe.org,PuneUniversity
78,SND College of Engineering & Research Centre,Nashik , +91-253-268252, +91-253-267914, http://www.snjbcoe.org,PuneUniversity
79,SNJBs KBJ College of Engineering,Nashik , +91-253-253811 / 253750, +91-253-253811, http://svitnashik.in/,PuneUniversity
80,Sir Visveswaraya Memorial Engineering College,Nashik ," +91-253-271278, 271179", +91-253-271277,,PuneUniversity
81,Lokmanya Tilak College of Engineering,NaviMumbai ," +91-22-27541005, 27541006,", +91-22-27547793, http://www.ltce.ltjss.net,MumbaiUniversity
82,Terna Engineering College,NaviMumbai , +91-215-2771 8134 / 27715037, +91-215-2772 2978, http://www.terna.org,MumbaiUniversity
83,Annasaheb Chudaman Patil College of Engineering,NaviMumbai , +91-215-27745722 / 27745732/, +91-215-27745722 / 27745732, http://www.acpce.org,MumbaiUniversity
84,Fr Conceicao Rodrigues Institute of Technology,NaviMumbai ," +91-215-41611000, 27661924,", +91-215-27660619, http://www.fcrit.ac.in,MumbaiUniversity
85,Ramrao Adik Institute of Technology,NaviMumbai , +91-215-27709574, +91-215-27709573, http://www.rait.ac.in,MumbaiUniversity
86,Smt Indira Gandhi College of Engineering,NaviMumbai , +91-215-27543608 / 27544626, +91-215-27544626, http://www.sigce.edu.in,MumbaiUniversity
87,SIES Graduate School of Technology,NaviMumbai , +91-215-27716969 / 27716928, +91-215-27743712, http://www.siesgst.com,MumbaiUniversity
88,Saraswati College of Engineering,NaviMumbai ," +91-215-27743706, 27743707,",, http://www.scoe.edu.in,MumbaiUniversity
89,College of Engineering Osmanabad,Osmanabad ," +91-2472-251712, 251011", +91-2472-251011, http://www.coeosmanabad.com,Dr.BabasahebAmbedkarMarathwadaUniversity
90,Shree Tuljabhavani College of Engineering,Osmanabad ,,,,Dr.BabasahebAmbedkarMarathwadaUniversity
91,Cusrow Wadia Institute of Technology,Pune ," +91--26164814 / 15, 26163", +91--26161310, http://www.maepune.com,PuneUniversity
92,Maharashtra Academy of Engineering,Pune ," +91-20-27185857, 27185514,"," +91-20-27185759, 30253799", http://www.moderncoe.com,PuneUniversity
93,PES Modern College of Engineering,Pune ," +91--5533638, 25533648", +91--25530957, http://www.mescoepune.org,PuneUniversity
94,Modern Education Society?s College of Engineering,Pune , +91--2616 3831, +91--24226858, http://www.pvgcoet.ac.in,PuneUniversity
95,PVG COET Pune,Pune , +91--24228258 / 65 / 79, +91-20-25507299, http://www.coep.org.in,PuneUniversity
96,College Of Engineering Pune,Pune , +91-20-25507000, +91-20-24280926, http://www.vit.edu,PuneUniversity
97,VIT Pune,Pune , +91-20-24283001/24202210/24, +91-20-26058877, http://www.aissmsioit.edu.in,PuneUniversity
98,Institute of Information Technology Pune,Pune ," +91-20-26052163, 26051636", +91--27422858, http://www.pddypiet.org,PuneUniversity
99,DY Patil Institute of Engineering & Technology,Pune , +91--27421095/96/97, +91-20-27653057, http://www.dypce-ak.com,PuneUniversity
100,DY Patil College of Engineering,Pune , +91-20-27653054/58, +91--25311499, http://www.cumminscollege.org,PuneUniversity
101,Cummins College of Engineering for Women,Pune , +91--25311000, +91-20-27157534, http://www.bvcoew.ac.in,PuneUniversity
102,Bharati Vidyapeeth's College of Engineering for Women,Pune ," +91--24372210, 24371684", +91-20-24372106, http://www.aitpune.com,PuneUniversity
103,Army Institute of Technology,Pune ," +91-20-27157534, 27157612", +91-20-24226858, http://www.pict.edu,PuneUniversity
104,Pune Institute of Computer Technology,Pune ," +91-20-24371101, 24372041,", +91-20-5442770, http://www.pvgcoet.ac.in,PuneUniversity
105,PVG's College of Engineering and Technology,Pune , +91-20-24228258 / 65 / 79, +91-20-24354938, http://www.mitpune.com,PuneUniversity
106,Maharashtra Institute of Technology,Pune ," +91-20-3027 3400, 3027 3459", +91-20-255113, http://www.gsmozecoe.com,PuneUniversity
107,Parvatibai Genba Moze College of Engineering & Research Centre,Pune , +91-20-24354938, +91-20-26058943, http://www.sinhgad.edu,PuneUniversity
108,Smt Kashibai Navale College of Engineering,Pune , +91-20-254424, +91-20-25672842, http://engg.svpm.edu.in,PuneUniversity
109,SVPMs College of Engineering,Pune ," +91-20-27653168, 27653166", +91-20-39116460, http://www.pccoepune.com,PuneUniversity
110,Pimpri Chinchwad College of Engineering,Pune ," +91-20-26058587, 26051660,",, http://www.aicoep.org,PuneUniversity
111,All India Shri Shivaji Memorial Society's College of Engineering,Pune , +91-20-24354721,, http://www.sinhgad.edu,PuneUniversity
112,Sinhgad College of Engineering,Pune , +91-20-25672841/43,, http://www.sigpune.com,PuneUniversity
113,Symbiosis Institute of Geoinformatics,Pune ," +91-20-39116300, 39116404",, http://www.sitpune.edu.in,SymbiosisInternationalUniversity
114,Symbiosis Institute of Technology,Pune ,,,,SymbiosisInternationalUniversity
115,Konkan Education Society's Engineering College,Mumbai, +91-2141-252812, +91-2141-222359, http://www.kgce.org,MumbaiUniversity
116,Konkan Gyanpeeth College of Engineering,Raigad ," +91-2141-222580, 221221, 2237",,,MumbaiUniversity
117,Narayan Nagu Patil Engineering College,Raigad ,,,,MumbaiUniversity
118,Shri Annasaheb Dange College of Engineering & Technology,Sangli , +91-2342-241107, +91-2342-241106, http://www.adcet.org.in,ShivajiUniversity
119,Vasantraodada Patil Institute of Management Studies & Research,Sangli ," +91-233-2211467, 2212427, 22", +91-233-2302797, http://www.vpimsrsangli.org,ShivajiUniversity
120,K.E. Society's College of Engineering,Sangli ," +91-233-2366345, 2366317", +91-233-2366185, http://www.pvpitsangli.org,ShivajiUniversity
121,Padmabhooshan Vasantraodada Patil Institute of Technology,Sangli , +91-233-2300383, +91-233-2300831, http://www.walchandsangli.ac.in,ShivajiUniversity
122,Walchand College of Engineering,Sangli ,,,,ShivajiUniversity
123,Bharatratna Indira Gandhi College of Engineering,Solapur , +91-217-2283842/43, +91-217-2283466, http://www.bigce.org.in,SolapurUniversity
124,Brahmdevdada Mane Institute of Technology,Solapur ,, +91-217-2651538, http://www.bmssp.org/bmit,SolapurUniversity
125,Walchand Institute of Technology,Solapur ,,, http://www.witsolapur.org,ShivajiUniversity
126,Shivajirao S Jondhale College of Engineering,Thane , +91--2870215 /16, +91--25973739, http://www.shivajiraojondhalecoe.com,MumbaiUniversity
127,Parshvanath College of Engineering,Thane ," +91--25973737, 25973738",, http://www.parshvanathengg.com,MumbaiUniversity
